street_address,location_area,municipality,final_price,price_per_m2,price_change_percent,sold_date,living_area_m2,non_living_area_m2,rooms,plot_area_m2,url
Flygargatan 24,Bärby Hage,Uppsala kommun,5300000,63095.24,,,84.0,120.0,5.0,805.2,/salda/villa-5rum-barby-hage-uppsala-kommun-flygargatan-24-1229252
Gitarrvägen 15,Uppsala,Uppsala kommun,3900000,27272.73,11.0,,143.0,14.0,6.0,190.0,/salda/villa-6rum-uppsala-stad-uppsala-kommun-gitarrvagen-15-1228469
Kåbovägen 30,Kåbo,Uppsala kommun,8300000,92222.22,-1.0,,90.0,90.0,5.0,1127.0,/salda/villa-5rum-kabo-uppsala-kommun-kabovagen-30-1227795
Flottiljgatan 4,Bärby Hage,Uppsala kommun,4450000,35887.1,-1.0,,124.0,6.0,5.0,217.0,/salda/villa-5rum-barby-hage-uppsala-kommun-flottiljgatan-4-1308881
Ekebovägen 2B,Södra Gottsunda,Uppsala kommun,7900000,31600.0,-4.0,,250.0,8.0,7.0,1423.0,/salda/villa-7rum-sodra-gottsunda-uppsala-kommun-ekebovagen-2b-1218479
Norra Parkvägen 17C,Norby,Uppsala kommun,7000000,51851.85,40.0,,135.0,109.0,6.0,1151.0,/salda/villa-6rum-norby-uppsala-kommun-norra-parkvagen-17c-1217387
Rosenvägen 20A,Sunnersta,Uppsala kommun,4850000,43303.57,-8.0,,112.0,112.0,5.0,972.2,/salda/villa-5rum-sunnersta-uppsala-kommun-rosenvagen-20a-1216762
Källbokroken 4,Gottsunda,Uppsala kommun,4100000,30597.01,-9.0,,134.0,34.0,5.0,779.0,/salda/villa-5rum-gottsunda-uppsala-kommun-kallbokroken-4-1216627
Stenhagsvägen 46,Uppsala,Uppsala kommun,3500000,26515.15,,,132.0,,,220.0,/salda/villa-132m2-uppsala-stad-uppsala-kommun-stenhagsvagen-46-1304346
Hässjevägen 11,Valsätra,Uppsala kommun,3995000,32217.74,0.0,,124.0,73.0,5.0,375.2,/salda/villa-5rum-valsatra-uppsala-kommun-hassjevagen-11-1215787
Morkullevägen 31,Sunnersta,Uppsala kommun,5600000,27053.14,2.0,,207.0,,6.0,1042.0,/salda/villa-6rum-sunnersta-uppsala-kommun-morkullevagen-31-1215364
Herrhagsvägen 215,Herrhagen,Uppsala kommun,3960000,30697.67,-1.0,,129.0,10.0,4.0,454.0,/salda/villa-4rum-herrhagen-uppsala-kommun-herrhagsvagen-215-1210060
Furugatan 16,Fålhagen,Uppsala kommun,9600000,40336.13,7.0,,238.0,85.0,9.0,1041.0,/salda/villa-9rum-falhagen-uppsala-kommun-furugatan-16-1208995
Reykjaviksgatan 55,Ekeby,Uppsala kommun,5900000,57843.14,7.0,,102.0,63.0,7.0,294.0,/salda/villa-7rum-ekeby-uppsala-kommun-reykjaviksgatan-55-1207732
Värnlundsgatan 53,Nyby,Uppsala kommun,5150000,41869.92,3.0,,123.0,12.0,7.0,400.0,/salda/villa-7rum-nyby-uppsala-kommun-varnlundsgatan-53-1207098
Pimpstensvägen 41,Uppsala,Uppsala kommun,3975000,29664.18,0.0,,134.0,,6.0,524.0,/salda/villa-6rum-uppsala-uppsala-kommun-pimpstensvagen-41-1205687
Bågspännarvägen 26,Gamla Uppsala,Uppsala kommun,5050000,38846.15,19.0,,130.0,33.0,5.0,824.0,/salda/villa-5rum-gamla-uppsala-uppsala-kommun-bagspannarvagen-26-1205662
Holmgångsvägen 1,Gamla Uppsala,Uppsala kommun,9525000,53511.24,19.0,,178.0,58.0,6.0,1386.0,/salda/villa-6rum-gamla-uppsala-uppsala-kommun-holmgangsvagen-1-1203200
Mariedalsgatan 37,Slavsta,Uppsala kommun,6500000,42763.16,8.0,,152.0,,5.0,510.0,/salda/villa-5rum-slavsta-uppsala-kommun-mariedalsgatan-37-1203057
Trasthagsvägen 10C,Sunnersta,Uppsala kommun,4900000,43750.0,14.0,,112.0,,5.0,186.0,/salda/villa-5rum-sunnersta-uppsala-kommun-trasthagsvagen-10c-1202879
Norbyvägen 49,Kåbo,Uppsala kommun,10000000,43859.65,5.0,,228.0,102.0,11.0,982.0,/salda/villa-11rum-kabo-uppsala-kommun-norbyvagen-49-1200462
Akademivägen 9,Bergsbrunna,Uppsala kommun,6400000,38095.24,0.0,,168.0,125.0,8.0,1087.0,/salda/villa-8rum-bergsbrunna-uppsala-kommun-akademivagen-9-1200049
Vattholmavägen 24,Gamla Uppsala,Uppsala kommun,5700000,32758.62,-7.0,,174.0,40.0,7.0,969.0,/salda/villa-7rum-gamla-uppsala-uppsala-kommun-vattholmavagen-24-1199203
Norra Parkvägen 28,Norby,Uppsala kommun,7150000,60593.22,44.0,,118.0,118.0,5.0,1093.0,/salda/villa-5rum-norby-uppsala-kommun-norra-parkvagen-28-1197256
Svankärrsvägen 13B,Sunnersta,Uppsala kommun,5450000,50000.0,9.0,,109.0,109.0,6.0,556.0,/salda/villa-6rum-sunnersta-uppsala-kommun-svankarrsvagen-13b-1197130
Malma ringväg 21,Norby,Uppsala kommun,6200000,46969.7,8.0,,132.0,9.0,6.0,741.0,/salda/villa-6rum-norby-uppsala-kommun-malma-ringvag-21-1194475
Ekolnsvägen 4A,Sunnersta,Uppsala kommun,4795000,32842.47,0.0,,146.0,92.0,7.0,879.0,/salda/villa-7rum-sunnersta-uppsala-kommun-ekolnsvagen-4a-1194233
Skogsvägen 37,Bergsbrunna,Uppsala kommun,6370000,34247.31,7.0,,186.0,32.0,7.0,929.0,/salda/villa-7rum-bergsbrunna-uppsala-kommun-skogsvagen-37-1193494
Sveddvägen 18,Sunnersta,Uppsala kommun,5710000,40785.71,10.0,,140.0,85.0,5.0,875.0,/salda/villa-5rum-sunnersta-uppsala-kommun-sveddvagen-18-1194012
Tallbacksvägen 6,Norby,Uppsala kommun,4750000,30645.16,-5.0,,155.0,57.0,6.0,1085.0,/salda/villa-6rum-norby-uppsala-kommun-tallbacksvagen-6-1192327
Pimpstensvägen 8,Herrhagen,Uppsala kommun,3700000,33035.71,-1.0,,112.0,,4.0,321.0,/salda/villa-4rum-herrhagen-uppsala-kommun-pimpstensvagen-8-1192795
Kumla trädgårdsgata 7,Danmark,Uppsala kommun,5500000,33536.59,-8.0,,164.0,,6.0,608.0,/salda/villa-6rum-danmark-uppsala-kommun-kumla-tradgardsgata-7-1192598
Kristinavägen 9,Bergsbrunna,Uppsala kommun,4700000,34558.82,-2.0,,136.0,,4.0,819.0,/salda/villa-4rum-bergsbrunna-uppsala-kommun-kristinavagen-9-1191881
Svankärrsvägen 17B,Sunnersta,Uppsala kommun,5812000,53321.1,9.0,,109.0,109.0,6.0,543.0,/salda/villa-6rum-sunnersta-uppsala-kommun-svankarrsvagen-17b-1191971
Smedsbylegatan 13,Fålhagen,Uppsala kommun,6100000,68539.33,2.0,,89.0,51.0,5.0,468.0,/salda/villa-5rum-falhagen-uppsala-kommun-smedsbylegatan-13-1191930
Ledungsvägen 32,Gamla Uppsala,Uppsala kommun,6060000,50082.64,21.0,,121.0,122.0,,1000.0,/salda/villa-121m2-gamla-uppsala-uppsala-kommun-ledungsvagen-32-1191637
Yrsavägen 6,Gamla Uppsala,Uppsala kommun,6850000,41768.29,5.0,,164.0,70.0,7.0,1715.0,/salda/villa-7rum-gamla-uppsala-uppsala-kommun-yrsavagen-6-1191234
Malmavägen 8,Valsätra,Uppsala kommun,5800000,29292.93,-11.0,,198.0,,6.0,1157.0,/salda/villa-6rum-valsatra-uppsala-kommun-malmavagen-8-1188000
Furugatan 1,Fålhagen,Uppsala kommun,8150000,49695.12,7.0,,164.0,60.0,5.0,516.0,/salda/villa-5rum-falhagen-uppsala-kommun-furugatan-1-1187372
Backvägen 10B,Sunnersta,Uppsala kommun,5190000,36293.71,0.0,,143.0,28.0,6.0,782.0,/salda/villa-6rum-sunnersta-uppsala-kommun-backvagen-10b-1187101
Stackmästarvägen 10,Valsätra,Uppsala kommun,4450000,39732.14,14.0,,112.0,100.0,4.0,,/salda/villa-4rum-valsatra-uppsala-kommun-stackmastarvagen-10-1186965
Malma Ringväg 56,Norby,Uppsala kommun,6800000,28451.88,-1.0,,239.0,17.0,7.0,941.0,/salda/villa-7rum-norby-uppsala-kommun-malma-ringvag-56-1186279
Skogsmyrsvägen 27,Norby,Uppsala kommun,5750000,31767.96,0.0,,181.0,93.0,8.0,607.0,/salda/villa-8rum-norby-uppsala-kommun-skogsmyrsvagen-27-1183698
Rödhakevägen 31A,Sunnersta,Uppsala kommun,6550000,39457.83,1.0,,166.0,165.0,6.0,1275.0,/salda/villa-6rum-sunnersta-uppsala-kommun-rodhakevagen-31a-1183563
Stackmästarvägen 14,Valsätra,Uppsala kommun,4500000,40178.57,0.0,,112.0,100.0,7.0,457.7,/salda/villa-7rum-valsatra-uppsala-kommun-stackmastarvagen-14-1182380
Gråbergsvägen 21,Eriksberg,Uppsala kommun,7850000,46176.47,8.0,,170.0,28.0,7.0,966.7,/salda/villa-7rum-eriksberg-uppsala-kommun-grabergsvagen-21-1182144
Järpvägen 41A,Sunnersta,Uppsala kommun,5400000,37762.24,-2.0,,143.0,82.0,6.0,712.0,/salda/villa-6rum-sunnersta-uppsala-kommun-jarpvagen-41a-1305048
Backvägen 13A,Sunnersta,Uppsala kommun,5700000,54285.71,30.0,,105.0,,5.0,1529.0,/salda/villa-5rum-sunnersta-uppsala-kommun-backvagen-13a-1179386
Arngrims gränd 10,Gamla Uppsala,Uppsala kommun,5760000,45714.29,15.0,,126.0,120.0,6.0,875.5,/salda/villa-6rum-gamla-uppsala-uppsala-kommun-arngrims-grand-10-1179367
Kärrvägen 5,Norby,Uppsala kommun,5350000,47767.86,7.0,,112.0,57.0,5.0,932.0,/salda/villa-5rum-norby-uppsala-kommun-karrvagen-5-1185594
Senapsgatan 3,Årsta,Uppsala kommun,4735000,36423.08,1.0,,130.0,66.0,6.0,988.0,/salda/villa-6rum-arsta-uppsala-kommun-senapsgatan-3-1178076
Järpvägen 37A,Sunnersta,Uppsala kommun,7210000,40279.33,11.0,,179.0,1.0,7.0,969.0,/salda/villa-7rum-sunnersta-uppsala-kommun-jarpvagen-37a-1177669
Sörgårdsvägen 7,Husbyborg,Uppsala kommun,5800000,47933.88,0.0,,121.0,53.0,5.0,981.0,/salda/villa-5rum-husbyborg-uppsala-kommun-sorgardsvagen-7-1177422
Seminariegatan 16B,Luthagen,Uppsala kommun,7075000,48458.9,7.0,,146.0,45.0,6.0,436.0,/salda/villa-6rum-luthagen-uppsala-kommun-seminariegatan-16b-1177327
Säves väg 18,Flogsta,Uppsala kommun,5450000,45798.32,5.0,,119.0,61.0,5.0,159.0,/salda/villa-5rum-flogsta-uppsala-kommun-saves-vag-18-1175352
Salladsgatan 9,Årsta,Uppsala kommun,5550000,40217.39,1.0,,138.0,,6.0,769.0,/salda/villa-6rum-arsta-uppsala-kommun-salladsgatan-9-1174940
Banvallsvägen 6,Gamla Uppsala,Uppsala kommun,6475000,46250.0,0.0,,140.0,41.0,5.0,1341.0,/salda/villa-5rum-gamla-uppsala-uppsala-kommun-banvallsvagen-6-1174082
Stenhuggarvägen 7,Stenhagen,Uppsala kommun,3400000,33333.33,14.0,,102.0,,3.0,938.0,/salda/villa-3rum-stenhagen-uppsala-kommun-stenhuggarvagen-7-1174030
Klangs gränd 9,Rickomberga,Uppsala kommun,6250000,37202.38,1.0,,168.0,99.0,7.0,862.0,/salda/villa-7rum-rickomberga-uppsala-kommun-klangs-grand-9-1171755
Rosenvägen 32,Sunnersta,Uppsala kommun,7100000,51079.14,15.0,,139.0,114.0,7.0,1157.0,/salda/villa-7rum-sunnersta-uppsala-kommun-rosenvagen-32-1169935
Stockrosgatan 1B,Fålhagen,Uppsala kommun,7050000,47635.14,1.0,,148.0,146.0,,620.0,/salda/villa-148m2-falhagen-uppsala-kommun-stockrosgatan-1b-1168494
Bertilsvägen 12A,Berthåga,Uppsala kommun,6300000,46666.67,-3.0,,135.0,120.0,6.0,792.6,/salda/villa-6rum-berthaga-uppsala-kommun-bertilsvagen-12a-1167124
Rosenvägen 71B,Sunnersta,Uppsala kommun,5470000,31802.33,3.0,,172.0,,6.0,838.0,/salda/villa-6rum-sunnersta-uppsala-kommun-rosenvagen-71b-1166743
Störvägen 4,Valsätra,Uppsala kommun,5000000,44642.86,6.0,,112.0,100.0,8.0,495.1,/salda/villa-8rum-valsatra-uppsala-kommun-storvagen-4-1166193
Entitevägen 9,Sunnersta,Uppsala kommun,5055000,31203.7,-5.0,,162.0,162.0,8.0,942.0,/salda/villa-8rum-sunnersta-uppsala-kommun-entitevagen-9-1305457
Holmvägen 8B,Sunnersta,Uppsala kommun,3200000,42105.26,-8.0,,76.0,70.0,3.0,854.0,/salda/villa-3rum-sunnersta-uppsala-kommun-holmvagen-8b-1160444
Lönnviksvägen 2,Sunnersta,Uppsala kommun,4535000,50955.06,20.0,,89.0,86.0,5.0,647.0,/salda/villa-5rum-sunnersta-uppsala-kommun-lonnviksvagen-2-1160425
Doppingvägen 11,Sunnersta,Uppsala kommun,5050000,40400.0,-8.0,,125.0,125.0,7.0,776.3,/salda/villa-7rum-sunnersta-uppsala-kommun-doppingvagen-11-1160096
Hartrajet 11,Bergsbrunna,Uppsala kommun,5900000,47580.65,21.0,,124.0,120.0,6.0,903.0,/salda/villa-6rum-bergsbrunna-uppsala-kommun-hartrajet-11-1156006
Rörbäcksvägen 24,Lugnet,Uppsala kommun,5300000,55789.47,12.0,,95.0,138.0,5.0,856.0,/salda/villa-5rum-lugnet-uppsala-kommun-rorbacksvagen-24-1156380
Åkervägen 5,Sunnersta,Uppsala kommun,5000000,45045.05,7.0,,111.0,111.0,4.0,717.0,/salda/villa-4rum-sunnersta-uppsala-kommun-akervagen-5-1154343
Tors väg 14,Gamla Uppsala,Uppsala kommun,5200000,54166.67,,,96.0,50.0,4.0,681.0,/salda/villa-4rum-gamla-uppsala-uppsala-kommun-tors-vag-14-1153318
Nåntuna backe  64,Nåntuna-Vilan,Uppsala kommun,5350000,36896.55,3.0,,145.0,30.0,5.0,803.0,/salda/villa-5rum-nantuna-vilan-uppsala-kommun-nantuna-backe-64-1152559
Fasanvägen 6A,Sunnersta,Uppsala kommun,5220000,38955.22,5.0,,134.0,81.0,5.0,684.0,/salda/villa-5rum-sunnersta-uppsala-kommun-fasanvagen-6a-1151729
Norbyvägen 54,Norby,Uppsala kommun,5300000,47321.43,7.0,,112.0,72.0,5.0,864.0,/salda/villa-5rum-norby-uppsala-kommun-norbyvagen-54-1151900
Balders väg 4A,Gamla Uppsala,Uppsala kommun,6800000,54400.0,36.0,,125.0,16.0,5.0,1903.0,/salda/villa-5rum-gamla-uppsala-uppsala-kommun-balders-vag-4a-1150560
Varpvägen 35,Nåntuna,Uppsala kommun,5360000,34805.19,12.0,,154.0,91.0,6.0,960.0,/salda/villa-6rum-nantuna-uppsala-kommun-varpvagen-35-1150318
Bergsbrunna villaväg 5,Bergsbrunna-Uppsävja,Uppsala kommun,6100000,50833.33,4.0,,120.0,123.0,7.0,1201.0,/salda/villa-7rum-bergsbrunna-uppsavja-uppsala-kommun-bergsbrunna-villavag-5-1149919
Rubinvägen 15,Stenhagen,Uppsala kommun,3890000,37403.85,3.0,,104.0,7.0,5.0,331.0,/salda/villa-5rum-stenhagen-uppsala-kommun-rubinvagen-15-1149384
Nåntuna Tomtebo 94,Nåntuna,Uppsala kommun,5900000,32596.69,19.0,,181.0,,7.0,2066.0,/salda/villa-7rum-nantuna-uppsala-kommun-nantuna-tomtebo-94-1148796
Timjansgatan 97,Årsta,Uppsala kommun,4200000,38532.11,6.0,,109.0,109.0,5.0,365.9,/salda/villa-5rum-arsta-uppsala-kommun-timjansgatan-97-1149828
Lievägen 12,Valsätra,Uppsala kommun,3800000,35849.06,3.0,,106.0,106.0,6.0,385.0,/salda/villa-6rum-valsatra-uppsala-kommun-lievagen-12-1150210
Bergsbrunna villaväg 12A,Bergsbrunna,Uppsala kommun,5700000,32947.98,-4.0,,173.0,68.0,6.0,1236.0,/salda/villa-6rum-bergsbrunna-uppsala-kommun-bergsbrunna-villavag-12a-1146833
Dragarbrunnsgatan 7,Centrum Uppsala,Uppsala kommun,17000000,37610.62,-3.0,,452.0,,16.0,373.0,/salda/villa-16rum-centrum-uppsala-uppsala-kommun-dragarbrunnsgatan-7-1145682
Kohagsvägen 2,Sunnersta,Uppsala kommun,4600000,27380.95,2.0,,168.0,53.0,6.0,1516.0,/salda/villa-6rum-sunnersta-uppsala-kommun-kohagsvagen-2-1143082
Startgatan 20,Tunabackar,Uppsala kommun,5700000,38000.0,-4.0,,150.0,20.0,6.0,551.0,/salda/villa-6rum-tunabackar-uppsala-kommun-startgatan-20-1142802
Norbyvägen 125,Norby,Uppsala kommun,7750000,35550.46,-3.0,,218.0,,7.0,1158.0,/salda/villa-7rum-norby-uppsala-kommun-norbyvagen-125-1139598
Valhallagatan 16,Svartbäcken,Uppsala kommun,9700000,67832.17,14.0,,143.0,98.0,8.0,,/salda/villa-8rum-svartbacken-uppsala-kommun-valhallagatan-16-1129372
Almstigen 42,Sunnersta,Uppsala kommun,4000000,27397.26,0.0,,146.0,,5.0,,/salda/villa-5rum-sunnersta-uppsala-kommun-almstigen-42-1136438
Fålhagsgatan 54,Fålhagen,Uppsala kommun,4410000,70000.0,-2.0,,63.0,63.0,3.0,545.3,/salda/villa-3rum-falhagen-uppsala-kommun-falhagsgatan-54-1135583
Pilvägen 3A,Norby,Uppsala kommun,8750000,46542.55,,,188.0,8.0,6.0,1235.0,/salda/villa-6rum-norby-uppsala-kommun-pilvagen-3a-1134900
Norbyvägen 62,Norby,Uppsala kommun,5800000,31351.35,-3.0,,185.0,35.0,7.0,969.3,/salda/villa-7rum-norby-uppsala-kommun-norbyvagen-62-1131378
Arkeologvägen 48,Gamla Uppsala,Uppsala kommun,5000000,34722.22,0.0,,144.0,,5.0,349.0,/salda/villa-5rum-gamla-uppsala-uppsala-kommun-arkeologvagen-48-1131161
Sandavägen 15,Sunnersta,Uppsala kommun,7900000,42702.7,-1.0,,185.0,96.0,8.0,1717.0,/salda/villa-8rum-sunnersta-uppsala-kommun-sandavagen-15-1130910
Senapsgatan 10A,Årsta,Uppsala kommun,4475000,53915.66,0.0,,83.0,83.0,5.0,836.0,/salda/villa-5rum-arsta-uppsala-kommun-senapsgatan-10a-1127403
Störvägen 16,Valsätra,Uppsala kommun,4150000,37053.57,0.0,,112.0,100.0,7.0,549.8,/salda/villa-7rum-valsatra-uppsala-kommun-storvagen-16-1133285
Salladsgatan 11,Årsta,Uppsala kommun,5600000,40579.71,8.0,,138.0,,6.0,866.0,/salda/villa-6rum-arsta-uppsala-kommun-salladsgatan-11-1123528
Flottiljgatan 58,Bärbyhage,Uppsala kommun,6155000,42743.06,3.0,,144.0,100.0,5.0,582.1,/salda/villa-5rum-barbyhage-uppsala-kommun-flottiljgatan-58-1123180
Liljegatan 10,Fålhagen,Uppsala kommun,9750000,61320.75,0.0,,159.0,68.0,5.0,809.0,/salda/villa-5rum-falhagen-uppsala-kommun-liljegatan-10-1121338
Norra Parkvägen 13,Norby,Uppsala kommun,5800000,49572.65,-10.0,,117.0,117.0,9.0,1057.1,/salda/villa-9rum-norby-uppsala-kommun-norra-parkvagen-13-1121754
Runstensgatan 11,Svartbäcken,Uppsala kommun,4600000,63013.7,26.0,,73.0,60.0,2.0,572.0,/salda/villa-2rum-svartbacken-uppsala-kommun-runstensgatan-11-1118497
Rödhakevägen 14A,Sunnersta,Uppsala kommun,5375000,30196.63,13.0,,178.0,57.0,7.0,,/salda/villa-7rum-sunnersta-uppsala-kommun-rodhakevagen-14a-1117446
Fallskärmsgatan 10,Bärby Hage,Uppsala kommun,6750000,87662.34,13.0,,77.0,122.0,5.0,749.0,/salda/villa-5rum-barby-hage-uppsala-kommun-fallskarmsgatan-10-1115985
Kvarnkullsvägen 8,Brillinge,Uppsala kommun,5995000,41344.83,0.0,,145.0,124.0,6.0,795.0,/salda/villa-6rum-brillinge-uppsala-kommun-kvarnkullsvagen-8-1115650
Jägarvägen 20A,Sunnersta,Uppsala kommun,5595000,42067.67,2.0,,133.0,79.0,7.0,932.5,/salda/villa-7rum-sunnersta-uppsala-kommun-jagarvagen-20a-1113296
Timjansgatan 167,Årsta,Uppsala kommun,4510000,41376.15,-2.0,,109.0,109.0,5.0,269.0,/salda/villa-5rum-arsta-uppsala-kommun-timjansgatan-167-1107092
Skrindvägen 16,Valsätra,Uppsala kommun,3625000,29713.11,10.0,,122.0,73.0,6.0,375.2,/salda/villa-6rum-valsatra-uppsala-kommun-skrindvagen-16-1108574
Eriksgatan 1,Uppsala,Uppsala kommun,7625000,36658.65,-5.0,,208.0,100.0,8.0,851.0,/salda/villa-8rum-uppsala-uppsala-kommun-eriksgatan-1-1105879
Rosenvägen 18A,Sunnersta,Uppsala kommun,5995000,41061.64,0.0,,146.0,85.0,6.0,747.0,/salda/villa-6rum-sunnersta-uppsala-kommun-rosenvagen-18a-1105724
Bertilsvägen 22B,Berthåga,Uppsala kommun,3200000,58181.82,0.0,,55.0,55.0,2.0,988.2,/salda/villa-2rum-berthaga-uppsala-kommun-bertilsvagen-22b-1103802
Timjansgatan 181,Årsta,Uppsala kommun,5100000,46788.99,11.0,,109.0,109.0,6.0,287.0,/salda/villa-6rum-arsta-uppsala-kommun-timjansgatan-181-1097887
Vårdkasvägen 13,Vårdsätra,Uppsala kommun,8400000,45901.64,-1.0,,183.0,,7.0,2060.0,/salda/villa-7rum-vardsatra-uppsala-kommun-vardkasvagen-13-1099520
Greta Arwidssons väg 31,Gamla Uppsala,Uppsala kommun,4675000,39285.71,-2.0,,119.0,,,231.0,/salda/villa-119m2-gamla-uppsala-uppsala-kommun-greta-arwidssons-vag-31-1101235
Tornugglevägen 10,Sunnersta,Uppsala kommun,5675000,48922.41,15.0,,116.0,116.0,6.0,770.0,/salda/villa-6rum-sunnersta-uppsala-kommun-tornugglevagen-10-1096317
Långvägen 36A,Sunnersta,Uppsala kommun,5500000,36666.67,6.0,,150.0,,5.0,1168.0,/salda/villa-5rum-sunnersta-uppsala-kommun-langvagen-36a-1095687
Rapphönsvägen 5A,Sunnersta,Uppsala kommun,6060000,37875.0,1.0,,160.0,,5.0,1115.0,/salda/villa-5rum-sunnersta-uppsala-kommun-rapphonsvagen-5a-1094927
Falkvägen 9,Bergsbrunna,Uppsala kommun,5850000,42700.73,17.0,,137.0,136.0,6.0,990.0,/salda/villa-6rum-bergsbrunna-uppsala-kommun-falkvagen-9-1094819
Herrhagsvägen 225D,Herrhagen,Uppsala kommun,4400000,30985.92,5.0,,142.0,30.0,5.0,357.0,/salda/villa-5rum-herrhagen-uppsala-kommun-herrhagsvagen-225d-1094400
Purjogatan 6,Årsta,Uppsala kommun,5570000,39225.35,12.0,,142.0,6.0,5.0,887.0,/salda/villa-5rum-arsta-uppsala-kommun-purjogatan-6-1092218
Kärrvägen 3B,Norby,Uppsala kommun,8000000,39408.87,7.0,,203.0,140.0,8.0,739.6,/salda/villa-8rum-norby-uppsala-kommun-karrvagen-3b-1090871
Narves gränd 5,Gamla Uppsala,Uppsala kommun,5600000,40000.0,2.0,,140.0,90.0,8.0,731.0,/salda/villa-8rum-gamla-uppsala-uppsala-kommun-narves-grand-5-1094685
Nåntuna backe 33,Nåntuna Backe,Uppsala kommun,4400000,30136.99,-4.0,,146.0,,5.0,649.0,/salda/villa-5rum-nantuna-backe-uppsala-kommun-nantuna-backe-33-1090031
Smaragdvägen 17,Herrhagen,Uppsala kommun,3990000,34102.56,0.0,,117.0,5.0,5.0,297.0,/salda/villa-5rum-herrhagen-uppsala-kommun-smaragdvagen-17-1089877
Flottiljgatan 17,Tuna Backar,Uppsala kommun,4915000,55224.72,30.0,,89.0,89.0,5.0,764.0,/salda/villa-5rum-tuna-backar-uppsala-kommun-flottiljgatan-17-1089166
Bergsbrunna Villaväg 28,Bergsbrunna,Uppsala kommun,6550000,36388.89,13.0,,180.0,,6.0,743.0,/salda/villa-6rum-bergsbrunna-uppsala-kommun-bergsbrunna-villavag-28-1089164
Värnlundsgatan 25,Uppsala,Uppsala kommun,4900000,32666.67,3.0,,150.0,29.0,7.0,512.0,/salda/villa-7rum-uppsala-uppsala-kommun-varnlundsgatan-25-1088926
Klarbärsgatan 33,Slavsta,Uppsala kommun,4250000,39719.63,-1.0,,107.0,,4.0,359.0,/salda/villa-4rum-slavsta-uppsala-kommun-klarbarsgatan-33-1088379
Rälsvägen 26,Sunnersta,Uppsala kommun,6300000,37724.55,15.0,,167.0,49.0,8.0,1046.9,/salda/villa-8rum-sunnersta-uppsala-kommun-ralsvagen-26-1087609
Långvägen 33,Sunnersta,Uppsala kommun,7000000,43478.26,28.0,,161.0,,6.0,1685.0,/salda/villa-6rum-sunnersta-uppsala-kommun-langvagen-33-1084228
Störvägen 10,Valsätra,Uppsala kommun,3200000,28571.43,8.0,,112.0,100.0,7.0,441.0,/salda/villa-7rum-valsatra-uppsala-kommun-storvagen-10-1083236
Doppingvägen 13,Sunnersta,Uppsala kommun,4600000,43809.52,-3.0,,105.0,120.0,5.0,765.0,/salda/villa-5rum-sunnersta-uppsala-kommun-doppingvagen-13-1081890
Norra Parkvägen 2B,Uppsala,Uppsala kommun,6500000,47101.45,8.0,,138.0,136.0,7.0,973.0,/salda/villa-7rum-uppsala-uppsala-kommun-norra-parkvagen-2b-1081472
Spetsvägen 19,Nåntuna,Uppsala kommun,5050000,35563.38,8.0,,142.0,5.0,6.0,351.0,/salda/villa-6rum-nantuna-uppsala-kommun-spetsvagen-19-1077345
Heimdalsvägen 4C,Sunnersta,Uppsala kommun,6300000,30000.0,17.0,,210.0,,7.0,774.0,/salda/villa-7rum-sunnersta-uppsala-kommun-heimdalsvagen-4c-1077836
Nöthårsvägen 17,Nåntuna,Uppsala kommun,3800000,35185.19,9.0,,108.0,,4.0,149.0,/salda/villa-4rum-nantuna-uppsala-kommun-notharsvagen-17-1077090
Askvägen 28,Uppsala,Uppsala kommun,5125000,27702.7,5.0,,185.0,38.0,8.0,864.0,/salda/villa-8rum-uppsala-uppsala-kommun-askvagen-28-1076106
Pimpstensvägen 33,Herrhagen,Uppsala kommun,4000000,29850.75,-5.0,,134.0,9.0,5.0,411.0,/salda/villa-5rum-herrhagen-uppsala-kommun-pimpstensvagen-33-1078899
Sandgropsgatan 15B,Svartbäcken,Uppsala kommun,7100000,69607.84,2.0,,102.0,48.0,7.0,1125.0,/salda/villa-7rum-svartbacken-uppsala-kommun-sandgropsgatan-15b-1075273
Hollandsresan 34,Sävja,Uppsala kommun,3380000,31296.3,3.0,,108.0,,4.0,292.0,/salda/villa-4rum-savja-uppsala-kommun-hollandsresan-34-1075199
Tegelgatan 10,Kungsgärdet,Uppsala kommun,8870000,62464.79,12.0,,142.0,80.0,6.0,590.0,/salda/villa-6rum-kungsgardet-uppsala-kommun-tegelgatan-10-1070135
Gullvivevägen 7,Vårdsätra,Uppsala kommun,6600000,45517.24,20.0,,145.0,,6.0,1463.0,/salda/villa-6rum-vardsatra-uppsala-kommun-gullvivevagen-7-1070076
Senapsgatan 8,Årsta,Uppsala kommun,4530000,36829.27,13.0,,123.0,53.0,4.0,1111.0,/salda/villa-4rum-arsta-uppsala-kommun-senapsgatan-8-1069661
Hässjevägen 4,Valsätra,Uppsala kommun,5150000,36785.71,-6.0,,140.0,140.0,9.0,564.4,/salda/villa-9rum-valsatra-uppsala-kommun-hassjevagen-4-1068685
Vilanvägen 44B,Nåntuna-Vilan,Uppsala kommun,8050000,44972.07,15.0,,179.0,7.0,6.0,861.0,/salda/villa-6rum-nantuna-vilan-uppsala-kommun-vilanvagen-44b-1065865
