street_address,location_area,municipality,final_price,price_per_m2,price_change_percent,sold_date,living_area_m2,non_living_area_m2,rooms,plot_area_m2,url
Svankärrsvägen 4A,Sunnersta,Uppsala kommun,6950000,38186.81,-1.0,,182.0,11.0,6.0,775.0,/salda/villa-6rum-sunnersta-uppsala-kommun-svankarrsvagen-4a-2775031730839916118
Herrhagsvägen 213,Herrhagen,Uppsala kommun,4050000,31395.35,1.0,,129.0,10.0,5.0,447.0,/salda/villa-5rum-herrhagen-uppsala-kommun-herrhagsvagen-213-1203875050653701880
Rörbäcksvägen 36,Vilan,Uppsala kommun,6050000,54504.5,23.0,,111.0,18.0,5.0,647.0,/salda/villa-5rum-vilan-uppsala-kommun-rorbacksvagen-36-2100401575732383434
Timjansgatan 53,Årsta,Uppsala kommun,4995000,45825.69,-6.0,,109.0,109.0,,278.0,/salda/villa-109m2-arsta-uppsala-kommun-timjansgatan-53-4394495644617532974
Slagrutevägen 7,Valsätra,Uppsala kommun,5730000,40928.57,9.0,,140.0,140.0,6.0,677.8,/salda/villa-6rum-valsatra-uppsala-kommun-slagrutevagen-7-5001524855351268031
Vildrosgatan 17,Fålhagen,Uppsala kommun,8650000,55448.72,8.0,,156.0,78.0,7.0,735.0,/salda/villa-7rum-falhagen-uppsala-kommun-vildrosgatan-17-5514256055207848473
Norra Parkvägen 2B,Norby,Uppsala kommun,8700000,63043.48,-1.0,,138.0,136.0,7.0,973.0,/salda/villa-7rum-norby-uppsala-kommun-norra-parkvagen-2b-5182710406981878595
Eksätravägen 39,Södra Gottsunda,Uppsala kommun,6150000,33243.24,0.0,,185.0,20.0,7.0,526.0,/salda/villa-7rum-sodra-gottsunda-uppsala-kommun-eksatravagen-39-189773217791444021
Kvickstensvägen 16,Norby,Uppsala kommun,8470000,65153.85,54.0,,130.0,,6.0,1820.0,/salda/villa-6rum-norby-uppsala-kommun-kvickstensvagen-16-517563039778322471
Herrhagsvägen 330,Herrhagen,Uppsala kommun,4100000,35344.83,3.0,,116.0,25.0,5.0,324.0,/salda/villa-5rum-herrhagen-uppsala-kommun-herrhagsvagen-330-6064953265865042109
Hesselmans väg 34,Flogsta,Uppsala kommun,7450000,53214.29,19.0,,140.0,85.0,5.5,523.0,"/salda/villa-5,5rum-flogsta-uppsala-kommun-hesselmans-vag-34-7713678288067469201"
